 ,Area,Mean,Min,Max,Length
1,35,154.519,140.624,171.771,33.975
2,28,175.567,170.193,181.500,27.912
3,60,179.863,173.187,189.500,59.836
4,113,166.662,48.983,188.667,112.692
5,35,161.462,154.078,174.583,33.946
6,82,196.628,180.500,211.265,81.012
7,54,161.179,147.906,174.870,52.797
8,42,176.674,142.394,202.567,41.666
9,75,171.460,150.167,184.834,74.613
10,21,178.123,162.353,190.985,20.637
11,20,218.008,190.444,237.607,19.394
12,60,252.160,245.603,255.000,58.983
13,27,237.360,224.653,245.738,26.857
14,13,186.703,178.558,196.501,12.789
15,27,231.937,225.000,238.474,26.500
16,177,225.129,182.920,252.440,175.643
17,30,164.391,151.472,188.000,29.946
18,16,144.766,137.355,150.670,15.932
19,658,206.552,134.741,249.860,630.076
20,178,200.224,144.495,243.227,176.442
21,67,239.761,215.172,254.780,66.366
22,68,251.294,238.113,255.000,67.333
23,48,242.872,219.307,255.000,47.438
24,36,252.481,245.448,255.000,35.860
25,29,230.463,213.863,254.250,27.924
26,27,198.172,133.780,208.770,26.105
27,218,243.273,214.673,255.000,214.355
28,134,247.036,213.753,255.000,133.382
29,44,152.509,142.775,161.930,43.223
30,19,165.099,140.125,187.375,18.750
31,78,188.975,159.993,219.738,77.549
32,47,191.148,152.680,219.207,46.112
33,33,227.445,214.107,237.614,32.935
34,164,247.235,218.390,255.000,163.036
35,44,254.852,253.000,255.000,41.457
36,19,244.586,236.417,253.000,18.459
37,59,196.650,174.240,211.708,58.608
